name;iso_country;municipality;icao_code
Schertz Aerial Service - Hudson Airport;US;Hudson;
Lake Gage Seaplane Base;US;Angola;
Van Gorder Airport;US;Mansfield;
Natchez Trace Farm Airport;US;Hiseville;
Saint James Parish Hospital Heliport;US;Lutcher;
La National Guard Heliport;US;Baton Rouge;
Goddard Field;US;Haverhill;
Chesapeake City Heliport;US;Chesapeake City;
Beech Hill Airport;US;Mercer;
Rapids Airway Airport;US;Eaton Rapids;
Helblad Airport;US;Kelliher;
Nick's Flying Service Inc Airport;US;Rolling Fork;
Pluhar Airport;US;Cohagen;
Western Wake Medical Center Heliport;US;Cary;
Mc Connell Field Airport;US;Sarben;
Emmanuel Airport;US;Elmer;
McGee 04 Heliport;US;Jacksonville;
Kingston Ranch Airport;US;Sandy Valley;
Klaverack Airport;US;Hudson;
Teufel Heliport;US;Forest Grove;
Stillwater Medical Center Heliport;US;Stillwater;
Collins Landing Strip;US;Mitchell;
S & C Distribution Center Heliport;US;Philadelphia;
Strawbridge & Clothier Exton Heliport;US;Exton;
Emergency Helipad;US;Easley;
Cheyenne River Health Center Heliport;US;Eagle Butte;
Veterans Affairs Medical Center Heliport;US;Houston;
Hensley Airpark;US;Chuckey;
Hummingbird Heliport;US;Round Rock;
4D Ranch Airport;US;Utopia;
Pocock Airport;US;China Spring;
Navajo Mountain Airport;US;Navajo Mountain;
Saguache Municipal Airport;US;Saguache;
Russell County Medical Center Heliport;US;Lebanon;
Manquin Flight Park Ultralightport;US;Manquin;
Lightning Bolt Field Airport;US;Cabot;
Field of Dreams Airport;US;Hinckley;
Ox Meadows Airport;US;Spokane;
Dutch Gap Airstrip;US;Bristol;
Stillwater Creek Airport;US;Royal City;
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport;US;Morgantown;
Pecan Field;US;Jermyn;
Wasilla Creek Airpark;US;Palmer;
Allen Stagefield Army Heliport;US;Fort Rucker/Wicksburg;
Wetons Aerodrome;US;Fox;
Ozark Skies Airpark;US;Kingston;
Yuma Regional Medical Center Heliport;US;Yuma;
Van Buren Seaplane Base;US;Van Buren;
Lost Hills Sheriff's Station Heliport;US;Calabasas;
Pope Valley Airport;US;Pope Valley;
Rancho de Aereo Airport;US;Mead;
O And G Heliport;US;Torrington;
Melanie's Airport;US;Florala;
Aventura Heliport;US;North Miami Beach;
Charlton Strip;US;La Belle;
Raju Airport;US;Richland;
Spotts Field;US;Nora Springs;
Running Creek Ranch Airport;US;Elk City;
Classic Landings Airport;US;Bonfield;
Cooper Airport;US;Belleville;
Hardy Airport;US;Mount Auburn;
Darbro Field;US;Elk City;
High Point Farm Airport;US;Frankfort;
Cartersville Airport;US;Paint Lick;
Greg's Flying Service Airport;US;Winnsboro;
Midwest Heliport;US;Willowbrook;
Grass Roots Airport;US;Alexandria;
Pauls Valley General Hospital Heliport;US;Pauls Valley;
Bentley Heliport;US;Ipswich;
Breezecroft Airport;US;Chestertown;
Drisko Airport;US;Jonesboro;
Beaumont Hospital Taylor Heliport;US;Taylor;
Northern Pines Medical Center Heliport;US;Aurora;
VA Medical Center Jackson Heliport;US;Jackson;
Jones Landing Airport;US;Belgrade;
Mc Kay Airport;US;Spalding;
Stumpfield Heliport;US;Kensington;
Paulus Hook Pier Heliport;US;Jersey City;
Gary Fox Airport;US;Mebane;
Baker Ranches Airport;US;Baker;
Oswego County At Pulaski Heliport;US;Pulaski;
Drill Field Pad Heliport;US;Eugene;
Eaglecrest Field;US;Conesville;
Dorlon Airpark;US;Columbia Station;
Peacock Ranch Airport;US;Enterprise;
PECO Mob. Heliport;US;Philadelphia;
State Police Area Iii Heliport;US;Harrisburg;
Mills Brothers Airport;US;Neelyton;
Vernonia Airfield;US;Vernonia;
Brandes Air Field;US;Sealy;
Hilde-Griff Field;US;Georgetown;
Dew Drop Airport;US;Justin;
Circle A Ranch Airport;US;Blum;
Blanca Airport;US;Blanca;
Providence Airport;US;Farmville;
Port of Highgate Springs Heliport;US;Highgate Springs;
Sacred Heart Medical Center Helistop;US;Spokane;
Ames Private Airport;US;Darien;
Flat Creek Field;US;Kettle Falls;
Moore County Hospital District Heliport;US;Dumas;
Johnson Memorial Airport;US;Wilmot;
Henning Municipal Airport;US;Henning;
Twisted Sisters Airport;US;Sterling;
June Lake Airpark;US;Wasilla;
Brown Stagefield Army Heliport;US;Fort Rucker/New Brockton;
Bondair Airport;US;Higden;
Mercy Gilbert Medical Center Heliport;US;Gilbert;
Lucky Landing Marina and Seaplane Base;US;Glenburn;
SCE Solar I Heliport;US;Daggett;
